rule_a,rule_b,class_pair,label,period,shift,residual,residual_unshifted,mean_hamming,std_hamming,mean_hamming_after_burn_in,domination,dominant_rule,rule_share_a,rule_share_b,settle,settled_at,late_label,late_period,plot_path,lag_plot_path,metrics_path
40,44,I_x_II,fixed,1,0,7.070076972737315e-17,0.0,0.0017910447761194028,0.02400795228103384,0.0,coexist,,0.4601990049751244,0.5398009950248757,early,50,fixed,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule44/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule44/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule44/metrics.json
40,46,I_x_II,near_cycle,1,1,0.04671641791044769,0.09258706467661691,0.09476616915422885,0.024221088378713482,0.09258706467661693,coexist,,0.49228855721393033,0.5077114427860696,early,50,near_cycle,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule46/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule46/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule46/metrics.json
40,50,I_x_II,cycle,12,0,0.0,0.0,0.5366965174129351,0.013838202703495069,0.538146766169154,coexist,,0.3200497512437811,0.6799502487562189,early,50,cycle,12,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule50/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule50/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule50/metrics.json
40,51,I_x_II,cycle,12,0,0.0,0.0,0.9315721393034828,0.028038471556604407,0.9361442786069654,coexist,,0.43776119402985075,0.5622388059701493,early,50,cycle,12,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule51/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule51/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule51/metrics.json
40,56,I_x_II,fixed,1,0,0.0,0.0,0.004875621890547264,0.03567535385946708,0.0,coexist,,0.5,0.5,early,50,fixed,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule56/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule56/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule56/metrics.json
40,57,I_x_II,drift,1,1,2.333125401003314e-15,0.9552238805970149,0.9345771144278605,0.06188212817270819,0.9552238805970147,coexist,,0.3034825870646766,0.6965174129353234,early,100,drift,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule57/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule57/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule57/metrics.json
40,58,I_x_II,cycle,2,0,0.0,0.0,0.6510845771144278,0.027895578731929684,0.6567164179104478,coexist,,0.3308457711442786,0.6691542288557214,early,50,cycle,2,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule58/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule58/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule58/metrics.json
40,62,I_x_II,cycle,72,0,2.1210230918211945e-16,0.0,0.5624676616915423,0.045843784020880456,0.5715796019900498,coexist,,0.4811940298507463,0.5188059701492538,early,100,near_cycle,6,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule62/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule62/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule62/metrics.json
40,72,I_x_II,fixed,1,0,0.0,0.0,0.0014129353233830846,0.019787830319585663,0.0,coexist,,0.5,0.5,early,50,fixed,1,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule72/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule72/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule72/metrics.json
40,73,I_x_II,near_cycle,12,0,0.13787105603089958,0.1378710560308995,0.4578407960199005,0.025208383279371843,0.4602114427860697,coexist,,0.478407960199005,0.521592039800995,late,334,near_cycle,12,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule73/hamming_distance.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule73/lag_hamming.png,/Users/amrkandil/github_repos/thesis/Distributed-Tsetlin-Machines/experiments/results_minority/I_x_II/rule40_vs_rule73/metrics.json
